NMP,Najświętsza Maryja Panna,Najświętsza Maryja Panna,,,
NMP Bolesna,Najświętsza Maryja Panna Bolesna,Najświętsza Maryja Panna Bolesna,,,
NMP Dobrej Rady,Najświętsza Maryja Panna Matka Dobrej Rady,Najświętsza Maryja Panna Matka Dobrej Rady,,,
NMP Dzikowska,Najświętsza Maryja Panna Dzikowska,Najświętsza Maryja Panna Dzikowska,,,
NMP Fatimska,Najświętsza Maryja Panna Fatimska,Najświętsza Maryja Panna Fatimska,,,
NMP Gwiazda Morza,Najświętsza Maryja Panna Gwiazda Morza,Najświętsza Maryja Panna Gwiazda Morza,,,
NMP Kazańska,Najświętsza Maryja Panna Kazańska,Najświętsza Maryja Panna Kazańska,,,
NMP Królowa Anielska,Najświętsza Maryja Panna Królowa Anielska,Najświętsza Maryja Panna Królowa Anielska,,,
NMP Królowa Aniołów,Najświętsza Maryja Panna Królowa Anielska,Najświętsza Maryja Panna Królowa Anielska,,,
NMP Królowa Apostołów,Najświętsza Maryja Panna Królowa Apostołów,Najświętsza Maryja Panna Królowa Apostołów,,,
NMP Królowa Korony Polskiej,Najświętsza Maryja Panna Królowa Polski,Najświętsza Maryja Panna Królowa Polski,,,
NMP Królowa Męczenników,Najświętsza Maryja Panna Królowa Męczenników,Najświętsza Maryja Panna Królowa Męczenników,,,
NMP Królowa Pokoju,Najświętsza Maryja Panna Królowa Pokoju,Najświętsza Maryja Panna Królowa Pokoju,,,
NMP Królowa Polski,Najświętsza Maryja Panna Królowa Polski,Najświętsza Maryja Panna Królowa Polski,,,
NMP Królowa Różańca Św,Najświętsza Maryja Panna Różańcowa,Najświętsza Maryja Panna Różańcowa,,,
NMP Królowa Świata,Najświętsza Maryja Panna Królowa Świata,Najświętsza Maryja Panna Królowa Świata,,,
NMP Królowa Wszechświata,Najświętsza Maryja Panna Królowa Wszechświata,Najświętsza Maryja Panna Królowa Wszechświata,,,
NMP Loretańska,Najświętsza Maryja Panna Loretańska,Najświętsza Maryja Panna Loretańska,,,
NMP Matka Kościoła,Najświętsza Maryja Panna Matka Kościoła,Najświętsza Maryja Panna Matka Kościoła,,,
NMP Matka Miłosierdzia,Najświętsza Maryja Panna Ostrobramska Matka Miłosierdzia,Najświętsza Maryja Panna Ostrobramska Matka Miłosierdzia,,,
NMP Matka Sprawiedliwości,Najświętsza Maryja Panna Matka Sprawiedliwości i Miłości Społecznej,Najświętsza Maryja Panna Matka Sprawiedliwości i Miłości Społecznej,,,
NMP Matka Zbawiciela,Najświętsza Maryja Panna Matka Zbawiciela,Najświętsza Maryja Panna Matka Zbawiciela,,,
NMP Miłosierdzia,Najświętsza Maryja Panna Ostrobramska Matka Miłosierdzia,Najświętsza Maryja Panna Ostrobramska Matka Miłosierdzia,,,
NMP Niepokalanie Poczęta,Niepokalane Poczęcie Najświętszej Maryi Panny,Niepokalane Poczęcie Najświętszej Maryi Panny,,,
NMP Nieustającej Pomocy,Najświętsza Maryja Panna Nieustającej Pomocy,Najświętsza Maryja Panna Nieustającej Pomocy,,,
NMP Pocieszenia,Najświętsza Maryja Panna Matka Pocieszenia,Najświętsza Maryja Panna Matka Pocieszenia,,,
NMP Saletyńska,Najświętsza Maryja Panna Saletyńska,Najświętsza Maryja Panna Saletyńska,,,
NMP Sokalska,Najświętsza Maryja Panna Sokalska,Najświętsza Maryja Panna Sokalska,,,
NMP Szkaplerzna,Najświętsza Maryja Panna z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,,,
NMP Ucieczka Grzeszników,Najświętsza Maryja Panna Ucieczka Grzeszników,Najświętsza Maryja Panna Ucieczka Grzeszników,,,
NMP Wniebowzięta,Wniebowzięcie Najświętszej Maryi Panny,Wniebowzięcie Najświętszej Maryi Panny,,,
NMP z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,Najświętsza Maryja Panna z Góry Karmel,,,
NMP z Loudres,Najświętsza Maryja Panna z Lourdes,Najświętsza Maryja Panna z Lourdes,,,
NMP z Lourdes,Najświętsza Maryja Panna z Lourdes,Najświętsza Maryja Panna z Lourdes,,,
NMP Zwycięska,Najświętsza Maryja Panna Zwycięska,Najświętsza Maryja Panna Zwycięska,,,
NMPA,Najświętsza Maryja Panna Królowa Anielska,Najświętsza Maryja Panna Królowa Anielska,,,
NMPB,Najświętsza Maryja Panna Bolesna,Najświętsza Maryja Panna Bolesna,,,
NMPCz,Najświętsza Maryja Panna Częstochowska,Najświętsza Maryja Panna Częstochowska,,,
